"1071874490806734851","Sun Dec 09 21:09:27 +0000 2018","New video is live guys go watch 
https://t.co/F7K1LJyL31

@GFXCoach @Demented_RTs @Mighty_RTs @FearRTs #iOS #ios12 #apple #iphone https://t.co/lDymtUvQsv","(0.13636363636363635, 0.4772727272727273)"
"1071874145066123267","Sun Dec 09 21:08:05 +0000 2018","RT @nonsolospeakers: Apple iPhone XS (64GB) - Space Grey
 🎁🎁discover the offer 👉👉 https://t.co/twXU6lTeD0
#apple #iphone #iphonexs #smartphone #ios #offer #deal #nonsolospeakers https://t.co/yB1IWB4PUF","(-0.05, 0.1)"
"1071874025947709441","Sun Dec 09 21:07:36 +0000 2018","RT @LibbysMoms: Check out Irice Perfume Bottle Pink Purple Art Glass Apple Vanity Boudior #Irice https://t.co/DETLwfucDf via @eBay #ebay #irice #perfumebottle #apple #vanity #boudior #vintageperfumebottle #artglass","(-0.1, 0.3)"
"1071873528151097344","Sun Dec 09 21:05:38 +0000 2018","#iosmojavesucks #terriblesoftware #plannedobsolescence 
Mojave killed my mac, sending it to a necromancer, hope they can bring it back to life. Hey #apple stop releasing broken systems you’re like those video game companies! Yeah you know which ones.","(-0.275, 0.2)"
"1071873396839985153","Sun Dec 09 21:05:06 +0000 2018","12"" 1.3GHz #Apple #MacBooks for $1499 off at B&amp;H, $100 off. Free ship. https://t.co/SskU4ds0sm","(0.4, 0.8)"
"1071873235183120384","Sun Dec 09 21:04:28 +0000 2018","Check out #Apple Watch Series 3 42mm Space Grey Aluminium Case Olive Sport Loop (GPS - EE https://t.co/saYoiv9aiw @eBay #EE #eBay #AppleWatch","(-0.05, 0.1)"
"1071872975262150656","Sun Dec 09 21:03:26 +0000 2018","RT @CheckPointSW: Taking a bite out of #Apple’s #iOS Myth – Don’t be lulled into a false sense of security. Mobile #malware found in the #HeartRate app and attacks with a #malvertising campaign provide evidence that no device or OS is immune from #cyberattacks. https://t.co/nVdZlZgFTl https://t.co/ZX4c6ArjcL","(-0.4000000000000001, 0.6)"
"1071872616498151424","Sun Dec 09 21:02:00 +0000 2018","Apple opens free Everyone Can Code session registrations, offers new Hour of Code guides https://t.co/cA31824sOx #apple, #coding, #ipad, #store, #swift, via @appleinsider","(0.21212121212121213, 0.4181818181818182)"
"1071872482985021442","Sun Dec 09 21:01:29 +0000 2018","Crystals for Christmas? Yes, please! #scrumpiescharm 

#scrumpiesofmayfair #scrumpieslingerie #jewelry #jewellery  #gold #apple #gemstone #gemstonejewelry #applejewelry #charm #charmbracelet #keyring #christmasgifts #jewelleryforwomen #christmasjewelry https://t.co/uB8JjlOljW","(0.0, 0.0)"
"1071872416907841536","Sun Dec 09 21:01:13 +0000 2018","Is it just me for when I tap on back icon from iMessage chat, it slides down detail block every time rather than actually going back to all chats screen? #BadUX #Apple #iMessage","(-0.038888888888888896, 0.09722222222222224)"
"1071883266775572480","Sun Dec 09 21:44:20 +0000 2018","So Apple releases its iOS 12.1.1 to fix bugs, but beware as there is a nasty surprise!
https://t.co/1P6nV0vmS1
#Apple #TechNews #iOS https://t.co/YTXfE4Gdje","(-1.0, 1.0)"
"1071883255220183047","Sun Dec 09 21:44:17 +0000 2018","The Apple HomePod is $100 off right now in both Space Gray and White https://t.co/rz23sGBLJD #Apple","(0.14285714285714285, 0.26785714285714285)"
"1071883186135678976","Sun Dec 09 21:44:00 +0000 2018","Where it all came from: Steve Jobs and Japanese aesthetics: https://t.co/W9dSrklR8z #Apple","(0.0, 0.0)"
"1071883185934528512","Sun Dec 09 21:44:00 +0000 2018","Need to Rent iPhones in Bulk? https://t.co/RydLb4RW6e via @socializeWP #iphone #eventprofs #events #apple","(0.0, 0.0)"
